PROPOSAL_LONGTEXT,Research_Issue_Code
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI MSCI GREECE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI CAC MID 60 (DR) UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI FTSE ITALIA PMI PIR 2020    UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI EURO STOXX 50 DAILY (-1X)   INVERSE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR NEW ENERGY ESG SCREENED      UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI CAC MID 60 (DR) UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI FTSE ITALIA PMI PIR 2020    UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI EURO STOXX 50 DAILY (-1X)   INVERSE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR NEW ENERGY ESG SCREENED      UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI CAC MID 60 (DR) UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI FTSE ITALIA PMI PIR 2020    UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI EURO STOXX 50 DAILY (-1X)   INVERSE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR NEW ENERGY ESG SCREENED      UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI CAC MID 60 (DR) UCITS ETF,5000
ELECTION OF AUDIT COMMITTEE MEMBER: YU GA YEONG,5130
AMENDMENT OF ARTICLES ON RETIREMENT ALLOWANCE FOR DIRECTOR,5695
ACKNOWLEDGE PROPER CONVENING OF MEETING,5759
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI FTSE ITALIA PMI PIR 2020    UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI EURO STOXX 50 DAILY (-1X)   INVERSE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR NEW ENERGY ESG SCREENED      UCITS ETF,5000
ADOPTION OF A RESOLUTION GIVING AN OPINION ON THE REPORT OF THE SUPERVISORY   BOARD OF AB SP KA AKCYJNA BASED IN MAGNICE ON THE REMUNERATION OF MEMBERS OF  THE MANAGEMENT BOARD AND SUPERVISORY BOARD IN THE YEAR FINANCIAL YEAR         2022/2023,5600
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI FTSE ITALIA PMI PIR 2020    UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI EURO STOXX 50 DAILY (-1X)   INVERSE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR NEW ENERGY ESG SCREENED      UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI CAC MID 60 (DR) UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI FTSE ITALIA PMI PIR 2020    UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI EURO STOXX 50 DAILY (-1X)   INVERSE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR NEW ENERGY ESG SCREENED      UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI CAC MID 60 (DR) UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI FTSE ITALIA PMI PIR 2020    UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI EURO STOXX 50 DAILY (-1X)   INVERSE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR NEW ENERGY ESG SCREENED      UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI CAC MID 60 (DR) UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI FTSE ITALIA PMI PIR 2020    UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI EURO STOXX 50 DAILY (-1X)   INVERSE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR NEW ENERGY ESG SCREENED      UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI CAC MID 60 (DR) UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI FTSE ITALIA PMI PIR 2020    UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI EURO STOXX 50 DAILY (-1X)   INVERSE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR NEW ENERGY ESG SCREENED      UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI CAC MID 60 (DR) UCITS ETF,5000
APPROVE ALLOCATION OF INCOME FOR AMUNDI FTSE ITALIA PMI PIR 2020 UCITS ETF    AND ABSENCE OF DIVIDENDS,5000
APPROVE TREATMENT OF LOSSES FOR AMUNDI EURO STOXX 50 DAILY (-1X) INVERSE      UCITS ETF,5000
APPROVE ALLOCATION OF INCOME FOR LYXOR NEW ENERGY ESG SCREENED UCITS ETF AND  DIVIDENDS OF EUR 0.22 PER SHARE,5000
APPROVE ALLOCATION OF INCOME FOR AMUNDI CAC MID 60 (DR) UCITS ETF AND         DIVIDENDS OF EUR 6.15 PER SHARE,5000
APPROVE ALLOCATION OF INCOME FOR AMUNDI FTSE ITALIA PMI PIR 2020 UCITS ETF    AND ABSENCE OF DIVIDENDS,5000
APPROVE TREATMENT OF LOSSES FOR AMUNDI EURO STOXX 50 DAILY (-1X) INVERSE      UCITS ETF,5000
APPROVE ALLOCATION OF INCOME FOR LYXOR NEW ENERGY ESG SCREENED UCITS ETF AND  DIVIDENDS OF EUR 0.22 PER SHARE,5000
APPROVE ALLOCATION OF INCOME FOR AMUNDI CAC MID 60 (DR) UCITS ETF AND         DIVIDENDS OF EUR 6.15 PER SHARE,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI FTSE ITALIA PMI PIR 2020    UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI EURO STOXX 50 DAILY (-1X)   INVERSE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR NEW ENERGY ESG SCREENED      UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI CAC MID 60 (DR) UCITS ETF,5000
PLEASE NOTE THAT THIS RESOLUTION IS A SHAREHOLDER PROPOSAL: TO ADOPT OF THE   NEW ARTICLES IN SUBSTITUTION OF THE EXISTING ARTICLES,7495
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI MSCI WORLD EX EMU SRI       CLIMATE NET ZERO AMBITION PAB UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR RUSSELL 1000 GROWTH UCITS    ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI FTSE MIB DAILY (-1X)        INVERSE UCITS ETF,5000
APPROVE TREATMENT OF LOSSES FOR AMUNDI MSCI WORLD EX EMU SRI CLIMATE NET ZERO AMBITION PAB UCITS ETF,5000
APPROVE ALLOCATION OF INCOME FOR LYXOR RUSSELL 1000 GROWTH UCITS ETF AND      ABSENCE OF DIVIDENDS,5000
APPROVE TREATMENT OF LOSSES FOR AMUNDI FTSE MIB DAILY (-1X) INVERSE UCITS ETF,5000
APPROVE TREATMENT OF LOSSES FOR AMUNDI MSCI WORLD EX EMU SRI CLIMATE NET ZERO AMBITION PAB UCITS ETF,5000
APPROVE ALLOCATION OF INCOME FOR LYXOR RUSSELL 1000 GROWTH UCITS ETF AND      ABSENCE OF DIVIDENDS,5000
APPROVE TREATMENT OF LOSSES FOR AMUNDI FTSE MIB DAILY (-1X) INVERSE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI MSCI WORLD EX EMU SRI       CLIMATE NET ZERO AMBITION PAB UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR RUSSELL 1000 GROWTH UCITS    ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI FTSE MIB DAILY (-1X)        INVERSE UCITS ETF,5000
Shahid Qureshi,5100
Shahid Qureshi,5100
To appoint Grant Thornton LLP as the auditors of the Corporation for the ensuing year and to authorize the directors of the Corporation to fix their remuneration.,5220
To appoint Grant Thornton LLP as the auditors of the Corporation for the ensuing year and to authorize the directors of the Corporation to fix their remuneration.,5220
ACCEPT FINANCIAL STATEMENTS AND STATUTORY REPORTS FOR THE FISCAL YEAR ENDED   31/12/2023,5030
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI MSCI WORLD EX EMU SRI       CLIMATE NET ZERO AMBITION PAB UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR RUSSELL 1000 GROWTH UCITS    ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI FTSE MIB DAILY (-1X)        INVERSE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI MSCI WORLD EX EMU SRI       CLIMATE NET ZERO AMBITION PAB UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR RUSSELL 1000 GROWTH UCITS    ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI FTSE MIB DAILY (-1X)        INVERSE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI MSCI WORLD EX EMU SRI       CLIMATE NET ZERO AMBITION PAB UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR RUSSELL 1000 GROWTH UCITS    ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI FTSE MIB DAILY (-1X)        INVERSE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI MSCI WORLD EX EMU SRI       CLIMATE NET ZERO AMBITION PAB UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR RUSSELL 1000 GROWTH UCITS    ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI FTSE MIB DAILY (-1X)        INVERSE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI MSCI WORLD EX EMU SRI       CLIMATE NET ZERO AMBITION PAB UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR RUSSELL 1000 GROWTH UCITS    ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI FTSE MIB DAILY (-1X)        INVERSE UCITS ETF,5000
APPROVE DISCHARGE OF DIRECTORS,5700
AMEND ARTICLES,6184
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI MSCI WORLD EX EMU SRI       CLIMATE NET ZERO AMBITION PAB UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR RUSSELL 1000 GROWTH UCITS    ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI FTSE MIB DAILY (-1X)        INVERSE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI MSCI WORLD EX EMU SRI       CLIMATE NET ZERO AMBITION PAB UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR RUSSELL 1000 GROWTH UCITS    ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI FTSE MIB DAILY (-1X)        INVERSE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI MSCI WORLD EX EMU SRI       CLIMATE NET ZERO AMBITION PAB UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR RUSSELL 1000 GROWTH UCITS    ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI FTSE MIB DAILY (-1X)        INVERSE UCITS ETF,5000
"Approval of an amendment to our certificate of incorporation to effect a reverse stock split of our Common Stock at a ratio of 1:5 to 1:15, with the exact ratio within such range to be determined by the Board of Directors of the Company at their discretion.",895
DETERMINE NUMBER OF MEMBERS AND DEPUTY MEMBERS OF BOARD,5170
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI SHORTDAX DAILY (-2X)        INVERSE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI IBEX 35 DOBLE APALANCADO    DIARIO (2X) UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI MSCI WORLD II UCITS ETF,5000
APPROVE TREATMENT OF LOSSES FOR AMUNDI SHORTDAX DAILY (-2X) INVERSE UCITS ETF,5000
APPROVE TREATMENT OF LOSSES FOR AMUNDI IBEX 35 DOBLE APALANCADO DIARIO (2X)   UCITS ETF,5000
APPROVE ALLOCATION OF INCOME FOR AMUNDI MSCI WORLD II UCITS ETF,5000
APPROVE TREATMENT OF LOSSES FOR AMUNDI SHORTDAX DAILY (-2X) INVERSE UCITS ETF,5000
APPROVE TREATMENT OF LOSSES FOR AMUNDI IBEX 35 DOBLE APALANCADO DIARIO (2X)   UCITS ETF,5000
APPROVE ALLOCATION OF INCOME FOR AMUNDI MSCI WORLD II UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI SHORTDAX DAILY (-2X)        INVERSE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI IBEX 35 DOBLE APALANCADO    DIARIO (2X) UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI MSCI WORLD II UCITS ETF,5000
DIRECTOR,100
A. Stevenson-Patterson,5100
"Appointment of Smythe LLP, Chartered Professional Accountants, of Vancouver, British Columbia as Auditor of the Company for the ensuing year and authorizing the Directors to fix their remuneration.",5220
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI IBEX 35 DOBLE APALANCADO    DIARIO (2X) UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI MSCI WORLD II UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI SHORTDAX DAILY (-2X)        INVERSE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI IBEX 35 DOBLE APALANCADO    DIARIO (2X) UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI MSCI WORLD II UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI SHORTDAX DAILY (-2X)        INVERSE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI IBEX 35 DOBLE APALANCADO    DIARIO (2X) UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI MSCI WORLD II UCITS ETF,5000
RE-ELECT CARINE FEIPEL AS DIRECTOR,5100
"APPROVE REMUNERATION OF DIRECTORS IN THE AMOUNT OF EUR 125,000 FOR CHAIRMAN,  EUR 70,000 FOR VICE CHAIRMAN AND EUR 65,000 FOR OTHER DIRECTORS; APPROVE      REMUNERATION FOR COMMITTEE WORK; APPROVE MEETING FEES",5505
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI SHORTDAX DAILY (-2X)        INVERSE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI IBEX 35 DOBLE APALANCADO    DIARIO (2X) UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI MSCI WORLD II UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI SHORTDAX DAILY (-2X)        INVERSE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI IBEX 35 DOBLE APALANCADO    DIARIO (2X) UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI MSCI WORLD II UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI SHORTDAX DAILY (-2X)        INVERSE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI IBEX 35 DOBLE APALANCADO    DIARIO (2X) UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI MSCI WORLD II UCITS ETF,5000
TO APPOINT COLM LAUDER AS A DIRECTOR,7040
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
RENEW APPOINTMENT OF PRICEWATERHOUSECOOPERS AS AUDITOR,5200
ACKNOWLEDGE PROPER CONVENING OF MEETING,5759
"I WISH TO AUTHORIZE BROADRIDGE TO ARRANGE FOR THE SUB-CUSTODIAN TO REGISTER   THE SHARES, SO THAT I MAY SUBMIT A VOTE OR MEETING ATTENDANCE REQUEST ON PART 2 OF THE MEETING",9998
ALLOW DIRECTORS TO BE INVOLVED WITH OTHER COMPETITORS COMPANIES,5740
APPROVE TRANSFER OF 10 PERCENT OF PROFIT FOR THE YEAR 2023 TO STATUTORY       RESERVE,5000
"ADOPTION OF RESOLUTIONS ON GRANTING PERMISSION TO MEMBERS OF THE MANAGEMENT   BOARD AND MEMBERS OF THE COUNCIL OF THE COMPANY S SUPERVISORY BOARD FOR THE   FULFILLMENT OF DUTIES IN THE FINANCIAL YEAR FROM JULY 1, 2022 TO SEPTEMBER    30, 2023",5700
"RENEWAL OF THE TERM OF OFFICE OF PRICEWATERHOUSECOOPERS, COOPERATIVE COMPANY, AS CERTIFIED STATUTORY AUDITOR OF THE COMPANY, UNTIL THE NEXT ANNUAL GENERAL  MEETING OF SHAREHOLDERS TO BE HELD IN 2025",5200
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI SHORTDAX DAILY (-2X)        INVERSE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI IBEX 35 DOBLE APALANCADO    DIARIO (2X) UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI MSCI WORLD II UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI SHORTDAX DAILY (-2X)        INVERSE UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI IBEX 35 DOBLE APALANCADO    DIARIO (2X) UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI MSCI WORLD II UCITS ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI SHORTDAX DAILY (-2X)        INVERSE UCITS ETF,5000
"Appointment of PricewaterhouseCoopers LLP, Chartered Professional Accountants as Auditor of the Corporation for the ensuing year and authorizing the Directors to fix their remuneration.",5220
"To consider and, if thought advisable, pass an ordinary resolution of Shareholders re-approving the Company s Omnibus Equity Incentive Compensation Plan, as more particularly described in the accompanying management information circular (the  Information Circular ).",5313
"Appointment of PricewaterhouseCoopers LLP, Chartered Professional Accountants as Auditor of the Corporation for the ensuing year and authorizing the Directors to fix their remuneration.",5220
"To consider and, if thought advisable, pass an ordinary resolution of Shareholders re-approving the Company s Omnibus Equity Incentive Compensation Plan, as more particularly described in the accompanying management information circular (the  Information Circular ).",5313
APPROVE DIVIDENDS FOR THE YEAR ENDED 30 SEPTEMBER 2023 AND DECLARE DIVIDENDS  FOR THE YEAR ENDING 30 SEPTEMBER 2024,5000
ACCEPT FINANCIAL STATEMENTS AND STATUTORY REPORTS,5030
APPROVE ISSUANCE OF UP TO 15.6 MILLION SHARES AND REISSUANCE OF UP TO 7.8     MILLION TREASURY SHARES WITHOUT PREEMPTIVE RIGHTS,5804
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR DJ GLOBAL TITANS 50 UCITS    ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI CAC 40 DAILY (-1X) INVERSE  UCITS ETF,5000
POWERS,5750
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR DJ GLOBAL TITANS 50 UCITS    ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI CAC 40 DAILY (-1X) INVERSE  UCITS ETF,5000
POWERS,5750
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR DJ GLOBAL TITANS 50 UCITS    ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI CAC 40 DAILY (-1X) INVERSE  UCITS ETF,5000
POWERS,5750
ELECTION OF OUTSIDE DIRECTOR WHO IS AN AUDIT COMMITTEE MEMBER: GIM JONG HWAN,5100
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR DJ GLOBAL TITANS 50 UCITS    ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI CAC 40 DAILY (-1X) INVERSE  UCITS ETF,5000
POWERS,5750
APPROVE ALLOCATION OF INCOME FOR AMUNDI DJ GLOBAL TITANS 50 UCITS ETF AND     ABSENCE OF DIVIDENDS,5000
APPROVE TREATMENT OF LOSSES FOR AMUNDI CAC 40 DAILY (-1X) INVERSE UCITS ETF,5000
AUTHORIZE FILING OF REQUIRED DOCUMENTS/OTHER FORMALITIES,5750
APPROVE ALLOCATION OF INCOME FOR AMUNDI DJ GLOBAL TITANS 50 UCITS ETF AND     ABSENCE OF DIVIDENDS,5000
APPROVE TREATMENT OF LOSSES FOR AMUNDI CAC 40 DAILY (-1X) INVERSE UCITS ETF,5000
"ADOPTION OF A RESOLUTION ON THE ADOPTION OF THE SUPERVISORY BOARD S REPORT ON THE ACTIVITIES OF THE PERIOD FROM JULY 1, 2022 TO SEPTEMBER 30, 2023",5030
FREE REQUESTS,6393
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR DJ GLOBAL TITANS 50 UCITS    ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI CAC 40 DAILY (-1X) INVERSE  UCITS ETF,5000
POWERS,5750
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR DJ GLOBAL TITANS 50 UCITS    ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI CAC 40 DAILY (-1X) INVERSE  UCITS ETF,5000
POWERS,5750
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR DJ GLOBAL TITANS 50 UCITS    ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI CAC 40 DAILY (-1X) INVERSE  UCITS ETF,5000
POWERS,5750
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR DJ GLOBAL TITANS 50 UCITS    ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI CAC 40 DAILY (-1X) INVERSE  UCITS ETF,5000
POWERS,5750
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR DJ GLOBAL TITANS 50 UCITS    ETF,5000
ALLOCATION OF THE RESULTS FOR THE SUB FUND AMUNDI CAC 40 DAILY (-1X) INVERSE  UCITS ETF,5000
POWERS,5750
AUTHORIZE FILING OF REQUIRED DOCUMENTS/OTHER FORMALITIES,5750
ALLOCATION OF THE RESULTS FOR THE SUB FUND LYXOR DJ GLOBAL TITANS 50 UCITS    ETF,5000
